#Types Before Cut: 11091
#Types After Cut: 9696
#Search Hits: 0
353	9	23.685	чай
354	9	23.685	эмм
355	13	23.680	какими
356	13	23.680	маленький
357	13	23.680	машина
358	13	23.680	смотреть
359	39	23.014	людей
360	27	22.968	каждый
361	27	22.968	слова
362	14	22.873	d
363	14	22.873	вещи
364	14	22.873	мои
365	14	22.873	хотелось
366	11	22.688	квартире
367	36	22.529	одна
368	21	22.525	долго
369	146	22.473	был
370	20	22.330	друг
371	16	22.176	девять
372	28	22.132	совсем
373	18	22.094	русский
374	17	22.083	кем
375	35	22.062	четыре
376	30	21.839	чего
377	29	21.405	сама
378	12	21.345	нравятся
379	8	21.053	acc
380	8	21.053	komm
381	8	21.053	nom
382	8	21.053	ааa
383	8	21.053	английский
384	8	21.053	брови
385	8	21.053	говорящийа
386	8	21.053	говорящийб
387	8	21.053	грустно
388	8	21.053	делаешь
389	8	21.053	егэ
390	8	21.053	замечательно
391	8	21.053	звук
392	8	21.053	иду
393	8	21.053	интересного
394	8	21.053	колесико
395	8	21.053	любишь
396	8	21.053	лёва
397	8	21.053	мамой
398	8	21.053	мемы
399	8	21.053	моих
400	8	21.053	надя
401	8	21.053	неудобно
402	8	21.053	никит
403	8	21.053	одиннадцать
404	8	21.053	поехал
405	8	21.053	прихожу
406	8	21.053	смотрел
407	8	21.053	смотрела
408	8	21.053	студентов
409	8	21.053	типо
410	8	21.053	умер
411	8	21.053	учился
412	8	21.053	учится
413	8	21.053	хе
414	8	21.053	эт
415	13	20.642	бывает
416	13	20.642	говорила
417	13	20.642	специально
418	19	20.458	павел
419	14	20.272	надеюсь
420	10	20.239	дед
421	10	20.239	интересные
422	10	20.239	рассказывала
423	40	20.122	говорить
424	27	19.437	ей
425	11	19.035	будто
426	11	19.035	знаете
427	11	19.035	отец
428	11	19.035	пошел
429	153	18.510	еще
430	12	18.441	делали
431	12	18.441	купить
432	12	18.441	семье
433	7	18.421	бабушкой
434	7	18.421	боже
435	7	18.421	буквы
436	7	18.421	двери
437	7	18.421	детство
438	7	18.421	детьми
439	7	18.421	друзьями
440	7	18.421	ездить
441	7	18.421	ехали
442	7	18.421	живёт
443	7	18.421	забыла
444	7	18.421	задание
445	7	18.421	карл
446	7	18.421	квартиры
447	7	18.421	красивый
448	7	18.421	ненавижу
449	7	18.421	нету
450	7	18.421	ноль
451	7	18.421	парень
452	7	18.421	понравилась
453	7	18.421	пошёл
454	7	18.421	пытаюсь
455	7	18.421	секунд
456	7	18.421	скажи
457	7	18.421	сорок
458	7	18.421	супер
459	7	18.421	троих
460	7	18.421	троллейбус
461	7	18.421	человечек
462	7	18.421	читаю
463	7	18.421	чё
464	16	18.211	реально
465	16	18.211	уж
466	13	18.159	другую
467	13	18.159	улице
468	9	17.808	брали
469	9	17.808	друзей
470	9	17.808	едем
471	9	17.808	жил
472	9	17.808	институте
473	9	17.808	историю
474	9	17.808	маленькая
475	9	17.808	мое
476	9	17.808	нечего
477	9	17.808	смеется
478	9	17.808	твоя
479	19	17.442	хотел
480	17	16.818	разные
481	10	16.752	мной
482	10	16.752	написано
483	10	16.752	пол
484	78	16.684	больше
485	23	16.598	равно
486	25	16.457	лучше
487	11	16.274	посмотреть
488	11	16.274	скажем
489	11	16.274	считаю
490	19	16.116	говоря
491	12	16.083	друзья
492	13	16.064	языка
493	64	16.018	тогда
494	6	15.790	distinct
495	6	15.790	onion
496	6	15.790	part
497	6	15.790	автобус
498	6	15.790	автобусе
499	6	15.790	ам
500	6	15.790	антифриз
501	6	15.790	бабуля
502	6	15.790	бабушки
503	6	15.790	бешбармак
504	6	15.790	бутово
505	6	15.790	вау
506	6	15.790	верно
507	6	15.790	волосы
508	6	15.790	восемнадцать
509	6	15.790	выпускной
510	6	15.790	вышла
511	6	15.790	гончар
512	6	15.790	готовился
513	6	15.790	жигули
514	6	15.790	загрузили
515	6	15.790	запомнила
516	6	15.790	играли
517	6	15.790	идёт
518	6	15.790	книги
519	6	15.790	колесо
520	6	15.790	коллектив
521	6	15.790	кормила
522	6	15.790	красиво
523	6	15.790	культура
524	6	15.790	лагере
525	6	15.790	лингвистике
526	6	15.790	литературу
527	6	15.790	лук
528	6	15.790	любил
529	6	15.790	любимый
530	6	15.790	математике
531	6	15.790	мгм
532	6	15.790	мем
533	6	15.790	молодец
534	6	15.790	мужик
535	6	15.790	немец
536	6	15.790	ногой
537	6	15.790	обед
538	6	15.790	орешки
539	6	15.790	погрей
540	6	15.790	подумала
541	6	15.790	покупайте
542	6	15.790	полу
543	6	15.790	польский
544	6	15.790	понравился
545	6	15.790	поступил
546	6	15.790	преподаватели
547	6	15.790	причём
548	6	15.790	пятёрка
549	6	15.790	саш
550	6	15.790	семьдесят
551	6	15.790	слышно
552	6	15.790	снимали
553	6	15.790	снимать
554	6	15.790	спал
555	6	15.790	спрашивают
556	6	15.790	спросить
557	6	15.790	студенты
558	6	15.790	сынок
559	6	15.790	убирай
560	6	15.790	учителей
561	6	15.790	учителем
562	6	15.790	худи
563	6	15.790	чувак
564	6	15.790	шёл
565	6	15.790	щас
566	6	15.790	этаж
567	6	15.790	эх
568	21	15.732	виктор
569	29	15.621	соответственно
570	8	15.399	вертолет
571	8	15.399	дверь
572	8	15.399	интересный
573	8	15.399	паре
574	8	15.399	работала
575	8	15.399	родителей
576	17	15.390	заниматься
577	16	15.057	естественно
578	24	15.019	понятно
579	50	14.722	него
580	73	14.661	поэтому
581	9	14.503	берут
582	9	14.503	какого
583	9	14.503	машине
584	9	14.503	можете
585	9	14.503	половиной
586	9	14.503	тяжело
587	355	14.488	но
588	18	14.484	е
589	18	14.484	разных
590	18	14.484	сначала
591	13	14.260	завтра
592	13	14.260	спокойно
593	20	14.199	каких
594	10	14.145	пришла
595	11	14.049	рядом
596	16	13.706	наша
597	16	13.706	совершенно
598	99	13.367	чтобы
599	26	13.357	плюс
600	15	13.341	вас
601	15	13.341	метро
602	18	13.324	каким
603	24	13.219	чуть
604	5	13.158	num
605	5	13.158	арахис
606	5	13.158	бабушку
607	5	13.158	баллов
608	5	13.158	венера
609	5	13.158	вернее
610	5	13.158	видела
611	5	13.158	вкусный
612	5	13.158	вложил
613	5	13.158	вырезать
614	5	13.158	выставках
615	5	13.158	вышло
616	5	13.158	гешу
617	5	13.158	голову
618	5	13.158	горбачёв
619	5	13.158	гости
620	5	13.158	грязь
621	5	13.158	гэкаю
622	5	13.158	двадцати
623	5	13.158	делаем
624	5	13.158	доехали
625	5	13.158	ездила
626	5	13.158	ест
627	5	13.158	жестко
628	5	13.158	жесть
629	5	13.158	живу
630	5	13.158	жила
631	5	13.158	зашли
632	5	13.158	идешь
633	5	13.158	ии
634	5	13.158	ильямихайлович
635	5	13.158	имею
636	5	13.158	инопланетян
637	5	13.158	итак
638	5	13.158	камеру
639	5	13.158	каракатицах
640	5	13.158	картинки
641	5	13.158	кили
642	5	13.158	килограмм
643	5	13.158	классов
644	5	13.158	комнате
645	5	13.158	коридоре
646	5	13.158	красивые
647	5	13.158	крестик
648	5	13.158	крысу
649	5	13.158	лекцию
650	5	13.158	лилии
651	5	13.158	лингвисты
652	5	13.158	лол
653	5	13.158	лука
654	5	13.158	маккартни
655	5	13.158	мальчик
656	5	13.158	маме
657	5	13.158	маму
658	5	13.158	марс
659	5	13.158	математический
660	5	13.158	меровинги
661	5	13.158	мечты
662	5	13.158	миндаль
663	5	13.158	мол
664	5	13.158	нагло
665	5	13.158	най
666	5	13.158	ненавидят
667	5	13.158	нём
668	5	13.158	ого
669	5	13.158	одновременнно
670	5	13.158	ок
671	5	13.158	очки
672	5	13.158	пальто
673	5	13.158	парадигма
674	5	13.158	переехать
675	5	13.158	писать
676	5	13.158	платье
677	5	13.158	подписывайтесь
678	5	13.158	подумал
679	5	13.158	поехала
680	5	13.158	получалось
681	5	13.158	посмотрела
682	5	13.158	построили
683	5	13.158	прекрасный
684	5	13.158	проронил
685	5	13.158	прочим
686	5	13.158	прошёл
687	5	13.158	пью
688	5	13.158	пятом
689	5	13.158	расписание
690	5	13.158	ребёнок
691	5	13.158	рентген
692	5	13.158	родителям
693	5	13.158	салют
694	5	13.158	своём
695	5	13.158	села
696	5	13.158	сестра
697	5	13.158	сидела
698	5	13.158	сидит
699	5	13.158	скайп
700	5	13.158	снимаешь
701	5	13.158	сходить
702	5	13.158	счёт
703	5	13.158	съела
704	5	13.158	твёрдый
705	5	13.158	театр
706	5	13.158	тину
707	5	13.158	толстовка
708	5	13.158	увидела
709	5	13.158	удобно
710	5	13.158	удовольствие
711	5	13.158	умел
712	5	13.158	уметь
713	5	13.158	умеют
714	5	13.158	учёба
715	5	13.158	фамилия
716	5	13.158	физике
717	5	13.158	физику
718	5	13.158	фильмов
719	5	13.158	хихи
720	5	13.158	хм
721	5	13.158	хорватии
722	5	13.158	хорошее
723	5	13.158	целую
724	5	13.158	читает
725	5	13.158	читал
726	5	13.158	шестьдесят
727	5	13.158	штука
728	5	13.158	эд
729	22	13.146	дальше
730	38	13.050	достаточно
731	7	13.018	взяла
732	7	13.018	готовили
733	7	13.018	женщины
734	7	13.018	лагеря
735	7	13.018	одни
736	7	13.018	понравились
737	7	13.018	ребят
738	7	13.018	ходил
739	14	12.999	главное
740	17	12.897	начал
741	13	12.686	минус
742	13	12.686	юлия
743	45	12.491	эту
744	24	12.391	шесть
745	8	12.294	купила
746	8	12.294	маленькие
747	8	12.294	ходят
748	18	12.254	сильно
749	35	12.235	себя
750	11	12.196	город
751	11	12.196	писала
752	11	12.196	утром
753	10	12.063	народ
754	9	12.062	ан
755	9	12.062	видел
756	9	12.062	пару
757	9	12.062	ушли
758	9	12.062	часа
759	21	11.781	кого
760	14	11.675	вся
761	16	11.359	наш
762	16	11.359	семь
763	13	11.298	месте
764	13	11.298	море
765	13	11.298	пойти
766	13	11.298	рублей
767	48	11.012	хотя
768	85	10.954	можно
769	12	10.944	плохо
770	15	10.920	семьи
771	6	10.673	всяких
772	6	10.673	думали
773	6	10.673	закончила
774	6	10.673	знаем
775	6	10.673	ка
776	6	10.673	лагерь
777	6	10.673	мужчина
778	6	10.673	написала
779	6	10.673	носили
780	6	10.673	поговорим
781	6	10.673	рассказывать
782	6	10.673	русские
783	6	10.673	свет
784	6	10.673	семью
785	6	10.673	скажу
786	6	10.673	слава
787	6	10.673	страшно
788	6	10.673	судить
789	35	10.566	этим
790	4	10.526	apro
791	4	10.526	class
792	4	10.526	glass
793	4	10.526	mixed
794	4	10.526	note
795	4	10.526	pl
796	4	10.526	spro
797	4	10.526	tor
798	4	10.526	барашков
799	4	10.526	бассейн
800	4	10.526	беззеркалки
801	4	10.526	белорусским
802	4	10.526	белые
803	4	10.526	братьях
804	4	10.526	буква
805	4	10.526	вай
806	4	10.526	венеру
807	4	10.526	верю
808	4	10.526	веселая
809	4	10.526	витя
810	4	10.526	встретилась
811	4	10.526	всякое
812	4	10.526	всём
813	4	10.526	вышки
814	4	10.526	гитара
815	4	10.526	гитаре
816	4	10.526	гкчп
817	4	10.526	глазами
818	4	10.526	голова
819	4	10.526	голове
820	4	10.526	гриша
821	4	10.526	громкоговорителя
822	4	10.526	грусти
823	4	10.526	гуляют
824	4	10.526	даша
825	4	10.526	девочку
826	4	10.526	девятый
827	4	10.526	длинный
828	4	10.526	дочь
829	4	10.526	думал
830	4	10.526	дяди
831	4	10.526	еду
832	4	10.526	ехал
833	4	10.526	ехала
834	4	10.526	забрали
835	4	10.526	задавать
836	4	10.526	задания
837	4	10.526	задний
838	4	10.526	закончу
839	4	10.526	заметила
840	4	10.526	занималась
841	4	10.526	занимаюсь
842	4	10.526	звукооператором
843	4	10.526	ивановна
844	4	10.526	интереснее
845	4	10.526	кагоцел
846	4	10.526	камеры
847	4	10.526	капитан
848	4	10.526	каракатица
849	4	10.526	касательно
850	4	10.526	кастрюля
851	4	10.526	километра
852	4	10.526	кларнет
853	4	10.526	классные
854	4	10.526	книгу
855	4	10.526	комнату
856	4	10.526	королёв
857	4	10.526	кот
858	4	10.526	кота
859	4	10.526	кошмар
860	4	10.526	крутая
861	4	10.526	крутой
862	4	10.526	крутые
863	4	10.526	крыс
864	4	10.526	крысы
865	4	10.526	купались
866	4	10.526	кухня
867	4	10.526	лебединое
868	4	10.526	лесу
869	4	10.526	лингвистов
870	4	10.526	литературе
871	4	10.526	любила
872	4	10.526	любимого
873	4	10.526	мамаша
874	4	10.526	мечта
875	4	10.526	мило
876	4	10.526	минута
877	4	10.526	моим
878	4	10.526	моменты
879	4	10.526	муж
880	4	10.526	навруз
881	4	10.526	нарисован
882	4	10.526	наурыз
883	4	10.526	неловко
884	4	10.526	ночью
885	4	10.526	нравилось
886	4	10.526	нууу
887	4	10.526	общался
888	4	10.526	общежитии
889	4	10.526	одногруппников
890	4	10.526	описать
891	4	10.526	орех
892	4	10.526	орехи
893	4	10.526	остановился
894	4	10.526	остановки
895	4	10.526	отвезли
896	4	10.526	отучилась
897	4	10.526	охота
898	4	10.526	пастернаке
899	4	10.526	первокурсников
900	4	10.526	песни
901	4	10.526	пилот
902	4	10.526	платья
903	4	10.526	побывала
904	4	10.526	поел
905	4	10.526	поесть
906	4	10.526	позвоню
907	4	10.526	пойду
908	4	10.526	правой
909	4	10.526	представляла
910	4	10.526	привод
911	4	10.526	придумали
912	4	10.526	придётся
913	4	10.526	приезжаю
914	4	10.526	пришёл
915	4	10.526	профессии
916	4	10.526	профессия
